BattleUnitType/battle_unit_type/=NPCCrime_Rioterdisplay_name|Rioter
BattleUnitType/battle_unit_type/=Mil_RiotTrooperdescription|Shield-equipped riot control unit, capable of blasting targets with a shotgun or taking them down non-lethally with an ElectroLaser.
BattleUnitType/battle_unit_type/=Mil_SupportGunnerdisplay_name|Support Gunner
BattleUnitType/battle_unit_type/=Mil_SupportGunnerdescription|Footsoldier equipped with a Light Machine Gun and copious amounts of ammunition.
BattleUnitType/battle_unit_type/=Mil_Breacherdisplay_name|Breacher
BattleUnitType/battle_unit_type/=Mil_Breacherdescription|Fast moving soldier specialized in hit-and-run tactics. Equipped with a laser rifle, breaching charges, and stun grenades.
BattleUnitType/battle_unit_type/=Mil_CombatMedicdisplay_name|Combat Medic
BattleUnitType/battle_unit_type/=Mil_CombatMedicdescription|Trained soldier capable of healing human units during combat and evacuating soldiers off the field.
BattleUnitType/battle_unit_type/=Mil_Sniperdisplay_name|Sniper
BattleUnitType/battle_unit_type/=Mil_Sniperdescription|Lightly-armored soldier carrying a long-range, high-damage rifle.
BattleUnitType/battle_unit_type/=Mil_HeavyGunnerdisplay_name|Heavy Gunner
BattleUnitType/battle_unit_type/=Mil_HeavyGunnerdescription|Minigun-toting heavily armored soldier, capable of putting formidable amounts of fire downrange.
BattleUnitType/battle_unit_type/=Mil_RocketGunnerdisplay_name|Rocket Gunner
BattleUnitType/battle_unit_type/=Mil_RocketGunnerdescription|Rocket launcher-toting  heavily armored soldier, specialized on anti-armor warfare.
BattleUnitType/battle_unit_type/=Mil_Grenadierdisplay_name|Grenadier
BattleUnitType/battle_unit_type/=Mil_Grenadierdescription|Carrying a long range grenade launcher, this soldier can saturate the battlefield from any position and resupply allied explosives.
BattleUnitType/battle_unit_type/=Mil_Commandodisplay_name|Commando
BattleUnitType/battle_unit_type/=Mil_Commandodescription|Highly-trained, versatile soldier capable of taking down any threat in the battlefield. Carries a variety of gear, including stun grenades, EMP explosives, and automatic weapons.
BattleUnitType/battle_unit_type/=Mil_RobotKillerdisplay_name|Robot-Killer
BattleUnitType/battle_unit_type/=Mil_RobotKillerdescription|Specialized anti-robot soldier, equipped with EMP grenades, ElectroLasers, and high-damaging weapons.
BattleUnitType/battle_unit_type/=Mil_Cloakerdisplay_name|Cloaker
BattleUnitType/battle_unit_type/=Mil_Cloakerdescription|Equipped with a very rudimentary cloaking device, this human soldier can turn itself and other units invisible for a short amount of time.
BattleUnitType/battle_unit_type/=Mil_JumpTrooperdisplay_name|Jump Trooper
BattleUnitType/battle_unit_type/=Mil_JumpTrooperdescription|Hover-assisted jump packs allow this unit to stay in the air indefinitely, though biological limitations restrict how fast it can move compared to air vehicles.
BattleUnitType/battle_unit_type/=Mil_Flamerdisplay_name|Flamer
BattleUnitType/battle_unit_type/=Mil_Flamerdescription|Heavily armored unit equipped with a flamethrower, capable of hitting multiple enemies at once or setting fire to the enviroment.
BattleUnitType/battle_unit_type/=Mil_DroneOperatordisplay_name|Drone Operator
BattleUnitType/battle_unit_type/=Mil_DroneOperatordescription|Support soldier equipped with a long range weapon and capable of calling in a variety of drones for support.
BattleUnitType/battle_unit_type/=Mil_Radiomandisplay_name|Radioman
BattleUnitType/battle_unit_type/=Mil_Radiomandescription|While all soldiers carry radios, this unit's main role is to call in reinforcements and pinpoint targets for artillery, orbital, and close air support.
BattleUnitType/battle_unit_type/=Mil_FieldCommanderdisplay_name|Field Commander
BattleUnitType/battle_unit_type/=Mil_FieldCommanderdescription|A command officer capable of mantaining morale in the field, marking priority targets for focused fire, and providing buffs to all troops on the battlefield.
BattleUnitType/battle_unit_type/=Mil_TitaniumKnightdisplay_name|Titanium Knight
BattleUnitType/battle_unit_type/=Mil_TitaniumKnightdescription|Human clad in power armor, essentially granting them superhuman abilities and resilience.  A parallel development of the Iron Warrior project resulted in this hollowed out wearable exoskeleton, vastly superior to standard Exo Armor.
BattleUnitType/battle_unit_type/=Rebel_Militiadisplay_name|Militia
BattleUnitType/battle_unit_type/=Rebel_Militiadescription|Armed citizens, defending their territory or taking the law in their own hands.
BattleUnitType/battle_unit_type/=Rebel_Soldierdisplay_name|Rebel Soldier
BattleUnitType/battle_unit_type/=Rebel_Soldierdescription|Trained militia, capable of operating weapons effectively and putting up a fight.
BattleUnitType/battle_unit_type/=Rebel_Infiltratordisplay_name|Rebel Infiltrator
BattleUnitType/battle_unit_type/=Rebel_Infiltratordescription|Capable to infiltrate areas and groups alike, rebel infiltrators are one of the most important tools a resistance has at its disposal.
BattleUnitType/battle_unit_type/=Rebel_Operativedisplay_name|Rebel Operative
BattleUnitType/battle_unit_type/=Rebel_Operativedescription|Capable of infiltration and combat, these experienced and dangerous soldiers are not be trifled with.
BattleUnitType/battle_unit_type/=Rebel_DroneControllerdisplay_name|Rebel Drone Controller
BattleUnitType/battle_unit_type/=Rebel_DroneControllerdescription|Amateur drone specialist capable of temporarily hijacking drones and deploying DIY crude drone platforms.
BattleUnitType/battle_unit_type/=Rebel_Saboteurdisplay_name|Rebel Saboteur
BattleUnitType/battle_unit_type/=Rebel_Saboteurdescription|Trained operatives capable of taking down infrastructure and valuable assets with targeted attacks.
BattleUnitType/battle_unit_type/=Rebel_Commanderdisplay_name|Rebel Commander
BattleUnitType/battle_unit_type/=Rebel_Commanderdescription|Gifted with a tactical mind, these individuals lead the Resistance efforts and their operations.
BattleUnitType/battle_unit_type/=Reinforce_Mech5MeterCargodisplay_name|Mech 5m Cargo
BattleUnitType/battle_unit_type/=Reinforce_Mech5MeterCargodescription|TODO, but it's a mech coming for you.
BattleUnitType/battle_unit_type/=Reinforce_Mech5MeterWarriordisplay_name|Mech 5m Warrior
BattleUnitType/battle_unit_type/=Reinforce_Mech5MeterArtillerydisplay_name|Mech 5m Artillery
BattleUnitType/battle_unit_type/=Reinforce_Mech12MeterWarriordisplay_name|Mech 12m Warrior
BattleUnitType/battle_unit_type/=Reinforce_Mech14MeterHunterdisplay_name|Mech 14m Hunter
BattleUnitType/battle_unit_type/=Reinforce_Mech17MeterCargodisplay_name|Mech 17m Cargo
BattleUnitType/battle_unit_type/=Reinforce_Mech24MeterWarriordisplay_name|Mech 24m Warrior
BattleUnitType/battle_unit_type/=Reinforce_Mech50MeterShelldisplay_name|Mech 50m Shell
BattleUnitType/battle_unit_type/=Reinforce_Mech50MeterWarriordisplay_name|Mech 50m Warrior
BattleUnitType/battle_unit_type/=Reinforce_Mech50MeterDestroyerdisplay_name|Mech 50m Destroyer
BattleUnitType/battle_unit_type/=Reinforce_FighterJetdisplay_name|Fighter Jet
BattleUnitType/battle_unit_type/=Reinforce_FighterJetdescription|TODO, but it's a plane coming for you.
BattleUnitType/battle_unit_type/=Reinforce_SupersonicFighterJetdisplay_name|Supersonic Fighter Jet
BattleUnitType/battle_unit_type/=Reinforce_Bomberdisplay_name|Bomber
BattleUnitType/battle_unit_type/=Reinforce_Hovercrawlerdisplay_name|Hovercrawler
BattleUnitType/battle_unit_type/=Reinforce_Hovercrawlerdescription|TODO, but it's a tank coming for you.
BattleUnitType/battle_unit_type/=Reinforce_Hovertigerdisplay_name|Hovertiger
BattleUnitType/battle_unit_type/=Reinforce_Hoversharkdisplay_name|Hovershark
BattleUnitType/battle_unit_type/=Reinforce_Hovertillarydisplay_name|Hovertillary
BattleUnitType/battle_unit_type/=Reinforce_Reaperdisplay_name|Reaper
BattleUnitType/battle_unit_type/=NPCRobot_IronWarriordisplay_name|Iron Warrior
BattleUnitType/battle_unit_type/=NPCRobot_IronWarriordescription|Humanity's response to the threat of Predators, these elite killer robots are capable to match our line soldiers in every single way.
BattleUnitType/battle_unit_type/=NPCRobot_Hunterdisplay_name|Hunter
BattleUnitType/battle_unit_type/=NPCRobot_Hunterdescription|A robot-killer robot, Hunters are fast and deadly units custom built to tackle the growing robotic threat in the city.
BattleUnitType/battle_unit_type/=NPCRobot_IronTerrordisplay_name|Iron Terror
BattleUnitType/battle_unit_type/=NPCRobot_IronTerrordescription|Stronger, faster, and more resilient than any unit ever fielded, this evolution on the Iron Warrior design is superior to our own troops and it is what happens when humans take the robot threat seriously.
BattleUnitType/battle_unit_type/=NPCRobot_BoxingBotdisplay_name|Boxing Bot
BattleUnitType/battle_unit_type/=NPCRobot_BoxingBotdescription|A playful name based on its boxy appearance, these special hidden human-made robots are inspired by our own Haulers. They're weaker and less resilient than ours, but more numerous.
BattleUnitType/battle_unit_type/=NPCSec_MallGuarddisplay_name|Mall Guard
BattleUnitType/battle_unit_type/=NPCSec_MallGuarddescription|Token resistance.
BattleUnitType/battle_unit_type/=NPCSec_SecurityGuarddisplay_name|Security Guard
BattleUnitType/battle_unit_type/=NPCSec_SecurityGuarddescription|Guards capable of basic combat, but not as useful in a firefight.
BattleUnitType/battle_unit_type/=NPCSec_PoliceOfficerdisplay_name|Police Officer
BattleUnitType/battle_unit_type/=NPCSec_PoliceOfficerdescription|Professional police officers, tasked with keeping crime in check.
BattleUnitType/battle_unit_type/=NPCSec_Bodyguarddisplay_name|Bodyguard
BattleUnitType/battle_unit_type/=NPCSec_Bodyguarddescription|Experienced guard, often employed to defend valuable assets (including individuals).
BattleUnitType/battle_unit_type/=NPCSec_EliteBodyguarddisplay_name|Elite Bodyguard
BattleUnitType/battle_unit_type/=NPCSec_EliteBodyguarddescription|Former paramilitary soldiers, working in the private sector as guard for those with money, power, or both.
BattleUnitType/battle_unit_type/=Player_Nanoswarmdisplay_name|Nanoswarm
BattleUnitType/battle_unit_type/=Player_Nanoswarmdescription|A swarm of nanobots. Deadly, regenerative, and almost invisible, but not as resilient as proper robots. Great for infiltration, stealth, or certain kinds of sabotage.
BattleUnitType/battle_unit_type/=Player_Predatordisplay_name|Predator
BattleUnitType/battle_unit_type/=Player_Predatordescription|Heavily-plated robotic warrior. Relentless and incredibly strong, but not exactly stealthy. A single non-upgraded, unarmed Predator is the equal of ten human commandos.
BattleUnitType/battle_unit_type/=Player_Keanudisplay_name|Keanu
BattleUnitType/battle_unit_type/=Player_Keanudescription|Fast, flexible, and brutal robotic warrior. Unable to tank hits like a Predator, instead putting a premium on moving so skillfully it doesn't get hit at all.
BattleUnitType/battle_unit_type/=Player_Leechdisplay_name|Leech
BattleUnitType/battle_unit_type/=Player_Leechdescription|Able to hover via miniature anti-gravity pads. About the size of a small bird, this bot is deeply unsettling to humans as well as highly skilled at taking control of enemy bots and vehicles.
BattleUnitType/battle_unit_type/=Player_Cyborgdisplay_name|Cyborg
BattleUnitType/battle_unit_type/=Player_Cyborgdescription|Robotic interior with a living tissue exterior. May be good at infiltration, depending on how realistic the tissues, programming, and other features are; or may just unsettle humans by existing in the uncanny valley.
BattleUnitType/battle_unit_type/=Player_LiquidMetalPredatordisplay_name|Liquid Metal Predator
BattleUnitType/battle_unit_type/=Player_LiquidMetalPredatordescription|Advanced variant of the Predator. Cannot be upgraded with as much intelligence, but the liquid metal allows for shapeshifting as well as even better self-repair.
BattleUnitType/battle_unit_type/=Player_Seekerdisplay_name|Seeker
BattleUnitType/battle_unit_type/=Player_Seekerdescription|This state-of-the-art and heavily-plated version of a Predator is the supreme hunter; nothing stands in the way of it and its prey.  While they can be used in combat, doing so is a waste of resources; these are much better for dispatch misions.
BattleUnitType/battle_unit_type/=Player_Electrodedisplay_name|Electrode
BattleUnitType/battle_unit_type/=Player_Electrodedescription|This state-of-the-art Predator variant is electrified and can damage unprotected enemies simply by coming near them.
BattleUnitType/battle_unit_type/=Player_Carverdisplay_name|Carver
BattleUnitType/battle_unit_type/=Player_Carverdescription|An advanced variant of the Keanu, Carvers add psyops to their arsenal to terrorize organic targets.
BattleUnitType/battle_unit_type/=Player_Wakizashidisplay_name|Wakizashi
BattleUnitType/battle_unit_type/=Player_Wakizashidescription|An advanced variant of the Keanu, Wakizashi are specialists meant to accompany other units.  They prioritize exploiting minute distractions and openings created by their fellows to deal extra damage.
BattleUnitType/battle_unit_type/=Player_Sniperdescription|An advanced variant of the Keanu, Snipers are specialists use their speed and agility to climb buildings and move from perch to perch.  They have incredible range and deal high damage with their specialized weapons.
BattleUnitType/battle_unit_type/=Player_Scattercrawlerdisplay_name|Scattercrawler
BattleUnitType/battle_unit_type/=Player_Scattercrawlerdescription|A very advanced variant of the Keanu, Scattercrawlers are martial arts experts that with teleportation capabilities.
BattleUnitType/battle_unit_type/=Player_Doomsayerdisplay_name|Doomsayer
BattleUnitType/battle_unit_type/=Player_Doomsayerdescription|These eerie cyborgs are programmed to identify humans susceptible to suggestion, feeding their fears with the foretelling of doom. What they lack in combat skills they make up for in psyops.
BattleUnitType/battle_unit_type/=Player_CyborgCommanderdisplay_name|Cyborg Commander
BattleUnitType/battle_unit_type/=Player_CyborgCommanderdescription|These advanced cyborgs are not only incredibly realistic, they are also massively charismatic.  They are very competent warriors, but also capable of inspiring humans to follow them almost anywhere.
BattleUnitType/battle_unit_type/=Player_CyborgScientistdisplay_name|Cyborg Scientist
BattleUnitType/battle_unit_type/=Player_CyborgScientistdescription|These advanced cyborgs are not only highly realistic, they are also incredibly smart.  They are not combat-ready, but are immediately ready to blend into a crowd of scientists, doctors, or other high professionals.
BattleUnitType/battle_unit_type/=Player_SuitcaseRobotdisplay_name|Suitcase Robot
BattleUnitType/battle_unit_type/=Player_SuitcaseRobotdescription|Very small specialist robot that can tranform into and out of a suitcase format.  Whips high-tension cables around during combat, with horrifying results.
BattleUnitType/battle_unit_type/=Player_Protectordisplay_name|Protector
BattleUnitType/battle_unit_type/=Player_Protectordescription|These transforming mechs incorporate liquid metal technology and make ideal bodyguards for those deemed worthy of such protection.
BattleUnitType/battle_unit_type/=Player_Distractordisplay_name|Distractor
BattleUnitType/battle_unit_type/=Player_Distractordescription|Distractors are small, flying platforms that are designed to draw attention to themselves while they engage in mischief.
BattleUnitType/battle_unit_type/=Player_Microbotdisplay_name|Microbot
BattleUnitType/battle_unit_type/=Player_Microbotdescription|Significantly larger than a nanobot, microbots excel at infiltrating the bloodstream of various lifeforms and modifying their hosts for their benefit or detriment.
BattleUnitType/battle_unit_type/=Player_Ravendisplay_name|Raven
BattleUnitType/battle_unit_type/=Player_Ravendescription|These flying humanoid mechs specialize in hacking and psyops, capable of targeting the biological faculties of perception and distorting them.
BattleUnitType/battle_unit_type/=Player_NatureMinderdisplay_name|Nature Minder
BattleUnitType/battle_unit_type/=Player_NatureMinderdescription|These conspicuous but peaceful machines cultivate ecosystems and are largely ignored by humans altogether.
BattleUnitType/battle_unit_type/=Player_Pyroiddisplay_name|Pyroid
BattleUnitType/battle_unit_type/=Player_Pyroiddescription|Humanoid robot standing three meters in height, throwing flames out at will as well as covering itself in flames for psychological effect.
BattleUnitType/battle_unit_type/=Player_Ghostrunnerdisplay_name|Ghostrunner
BattleUnitType/battle_unit_type/=Player_Ghostrunnerdescription|Support unit that looks from a distance like a human in full body armor.  Expert hacking unit with secondary combat capabilities that are only employed in the event that stealth fails.
BattleUnitType/battle_unit_type/=Player_Tinkerdisplay_name|Tinker
BattleUnitType/battle_unit_type/=Player_Tinkerdescription|These small non-combat robots can be rented out to perform repairs or manual labor, or they can be directly deployed to do the same.
BattleUnitType/battle_unit_type/=Player_LaserPrinterdisplay_name|Laser Printer
BattleUnitType/battle_unit_type/=Player_LaserPrinterdescription|An animated office printer that is upgraded to fire lasers and chase down humans.
BattleUnitType/battle_unit_type/=Player_LaserCopierdisplay_name|Laser Copier
BattleUnitType/battle_unit_type/=Player_LaserCopierdescription|An animated office copier that is upgraded to fire lasers and chase down humans.
BattleUnitType/battle_unit_type/=Player_BasicDropPoddisplay_name|Standard Drop Pod
BattleUnitType/battle_unit_type/=Player_BasicDropPoddescription|Single-use armored rocket capsule, used to deliver a combat unit into combat quickly and with prejudice.
BattleUnitType/battle_unit_type/=Player_BreachingDroppoddisplay_name|Breaching Drop Pod
BattleUnitType/battle_unit_type/=Player_BreachingDroppoddescription|Reinforced frame equipped with hard hitting laser drill tip allows this drop pod to reach basements and highly protected areas.
BattleUnitType/battle_unit_type/=Player_ExplosiveDroppoddisplay_name|Explosive Drop Pod
BattleUnitType/battle_unit_type/=Player_ExplosiveDroppoddescription|Explosive charges on the outside of the drop pod explode upon arrival, creating an airburst effect which eliminates hostiles with maximum prejudice.
BattleUnitType/battle_unit_type/=Player_EMPDropPoddisplay_name|EMP Drop Pod
BattleUnitType/battle_unit_type/=Player_EMPDropPoddescription|EMP-coils on the drop pod trigger on impact, shortening all non-reinforced electronics in the area.
BattleUnitType/battle_unit_type/=Player_StormpodStunDropPoddisplay_name|Stormpod Stun Drop Pod
BattleUnitType/battle_unit_type/=Player_StormpodStunDropPoddescription|Shock and Awe, stuns hostiles on impact (besides the ones that are killed/stunned by being under the drop pod, of course).
BattleUnitType/battle_unit_type/=Player_AtomicDropPoddisplay_name|Atomic Drop Pod
BattleUnitType/battle_unit_type/=Player_AtomicDropPoddescription|A tiny amount of radioctive material is stored within the drop pod's outer shell and released on impact. Extremely deadly to organics.
BattleUnitType/battle_unit_type/=Player_BasicTransportdisplay_name|Standard Transport
BattleUnitType/battle_unit_type/=Player_BasicTransportdescription|Basic automated transport, capable of carrying several troops into battle relatively undetected. Unable to avoid active scans or dodge heavy anti-aircraft fire.
BattleUnitType/battle_unit_type/=Player_StealthTransportdisplay_name|Stealth Transport
BattleUnitType/battle_unit_type/=Player_StealthTransportdescription|Equipped with ECM jamming tech and stealth coating, this transport can carry a medium number of units into combat fully undetected. Bypasses early warning systems and alarms, but can still be targeted by anti-aricraft flak batteries when flying near highly defended areas.
BattleUnitType/battle_unit_type/=Player_SupportTransportdisplay_name|Support Transport
BattleUnitType/battle_unit_type/=Player_SupportTransportdescription|A heavily armored version of the standard transport, capable of carrying fewer troops but equipped with a full array of support equipment such as nanobot dispensers, jamming tech, fire support circuits, and scanners.
BattleUnitType/battle_unit_type/=Player_AssaultGunshipdisplay_name|Assault Gunship
BattleUnitType/battle_unit_type/=Player_AssaultGunshipdescription|Heavily armored and armed transport gunship, equipped with crowd-clearing weaponry. Capable of softening defenses before deploying troops into battle, and provide subsequent fire support.
BattleUnitType/battle_unit_type/=Player_StealthGunshipdisplay_name|Stealth Gunship
BattleUnitType/battle_unit_type/=Player_StealthGunshipdescription|This special version of the gunship exchanges troop capacity for extra weapons and anti-detection measures, allowing it to reach targets undetected and take them out.
BattleUnitType/battle_unit_type/=Player_Haulerdisplay_name|Hauler
BattleUnitType/battle_unit_type/=Player_Haulerdescription|Ungainly able to fold up to look like any other cargo. The fact that it looks so unrelated to the Predators and other scarier robots in your arsenal means people often look right past it.  Slow but strong, the hauler is great for hauling things -- or making a surprise smash. Without armor it can't take much punishment, as it's definitely not a combat bot.
BattleUnitType/battle_unit_type/=Player_Shamblerdisplay_name|Shambler
BattleUnitType/battle_unit_type/=Player_Shamblerdescription|Our own interpretation of those 'mechs' the humans like to make. Standing about three meters tall, it's too large to go into most buildings, but too small to smash through most of them. Specializes in withstanding large amounts of enemy fire while firing heavy rounds that take out enemy vehicles or disable larger enemy mechs.
BattleUnitType/battle_unit_type/=Player_RocketSleddisplay_name|Rocket Sled
BattleUnitType/battle_unit_type/=Player_RocketSleddescription|A downsized hovertank design fitted with rockets to allow it to boost into battle unaided.  Once at the battlefield it can only hover, but its rocket boost makes for much more flexible deployment options.
BattleUnitType/battle_unit_type/=Player_Striderdisplay_name|Strider
BattleUnitType/battle_unit_type/=Player_Striderdescription|Taller and faster cousin to the Shambler. Not quite as much of a brick on legs, but better suited for close combat with human mechs.
BattleUnitType/battle_unit_type/=Player_Blightdisplay_name|Blight
BattleUnitType/battle_unit_type/=Player_Blightdescription|This small mech is barely larger the Shambler technolgy it is based on, but it trades a lot of the armor-piercing capabilities for extreme speed and the ability to dominate close-quarters combat.
BattleUnitType/battle_unit_type/=Player_Tankerdisplay_name|Tanker
BattleUnitType/battle_unit_type/=Player_Tankerdescription|A larger and boxier version of the hauler, this one is meant for the open road. Using treads or legs as the situation requires, they can carry unheard-of loads, making them attractive to human customers. Unfortunately for the humans, these can also be transformed into killing machines.
BattleUnitType/battle_unit_type/=Player_Valkyriedisplay_name|Valkyrie
BattleUnitType/battle_unit_type/=Player_Valkyriedescription|This large flying mech inspires hope in the masses and focuses on large area-of-effect attacks.
BattleUnitType/battle_unit_type/=Player_Harbingerdisplay_name|Harbinger
BattleUnitType/battle_unit_type/=Player_Harbingerdescription|This ominous large flying mech inspires fear in all who see it, using psychological warfare as well as thick armor to just keep advancing no matter the odds.
BattleUnitType/battle_unit_type/=Player_Colossusdisplay_name|Colossus
BattleUnitType/battle_unit_type/=Player_Colossusdescription|This large mech is heavy and slow, but able to both take and deal out massive damage.
BattleUnitType/battle_unit_type/=Player_Voltwalkerdisplay_name|Voltwalker
BattleUnitType/battle_unit_type/=Player_Voltwalkerdescription|This massive mech requires extra electric power from the surrounding environment.  The more power it can draw from the local district, the more powerful it is.
BattleUnitType/battle_unit_type/=Player_ArtilleryMechdisplay_name|Artillery Mech
BattleUnitType/battle_unit_type/=Player_ArtilleryMechdescription|This large mech is slow, but fires very long-range explosive artillery shells with high accuracy.
