UISidebarBasicItem/ui_sidebar_item/=CohortDirectorydescription|General directory of all the cohorts in the city.
UISidebarBasicItem/ui_sidebar_item/=ArmyDesigndescription|Design the standing army you wish to have availble.
UISidebarBasicItem/ui_sidebar_item/=NeuroNetPoliciesdisplay_name|Neuro Net Policies
UISidebarBasicItem/ui_sidebar_item/=NeuroNetPoliciesdescription|Change settings to the NeuroNet.
UISidebarBasicItem/ui_sidebar_item/=ExitBattleModedisplay_name|Exit Battle Mode
UISidebarBasicItem/ui_sidebar_item/=ExitBattleModedescription|Exit battle mode, returning you to the normal view of the city.  If you've just been scouting, this has no effect on anything.
		
If you've deployed units or attacked units, this battlefield will persist for a short time as the humans deal with the aftermath.
UISidebarBasicItem/ui_sidebar_item/=BattleMode_DeploymentMethoddisplay_name|Deployment Method
UISidebarBasicItem/ui_sidebar_item/=BattleMode_DeploymentMethoddescription|For units that you choose to add to the battle, which method will they use to arrive?
UISidebarBasicItem/ui_sidebar_item/=BattleMode_SquadDeploymentdisplay_name|Squad Deployment
UISidebarBasicItem/ui_sidebar_item/=BattleMode_SquadDeploymentdescription|Which type of squad(s) do you wish to deploy, and where?
UISidebarBasicItem/ui_sidebar_item/=BattleMode_VehicleDeploymentdisplay_name|Vehicle Deployment
UISidebarBasicItem/ui_sidebar_item/=BattleMode_VehicleDeploymentdescription|Which type of vehicle(s) do you wish to deploy, and where?
UISidebarBasicItem/ui_sidebar_item/=BattleMode_NPCEncounterDeploymentdisplay_name|NPC Unit Deploy
UISidebarBasicItem/ui_sidebar_item/=BattleMode_NPCEncounterDeploymentdescription|Sandbox mode only, allows you to place NPCs (the types of units that spawn from encounters) down on the battlefield to see what happens.
UISidebarBasicItem/ui_sidebar_item/=BattleMode_NPCReinforcementDeploymentdisplay_name|NPC Reinforce Deploy
UISidebarBasicItem/ui_sidebar_item/=BattleMode_NPCReinforcementDeploymentdescription|Sandbox mode only, allows you to place NPCs (the types of units that spawn as reinforcements) down on the battlefield to see what happens.
UISidebarBasicItem/ui_sidebar_item/=BuildingOverlaysdisplay_name|Building Overlays
UISidebarBasicItem/ui_sidebar_item/=BuildingOverlaysdescription|Key tool!  Allows you to see an alternative view of the world with buildings highlighted in specific ways depending on the filter citeria you set up.
UISidebarBasicItem/ui_sidebar_item/=MessageLogdisplay_name|Message Log
UISidebarBasicItem/ui_sidebar_item/=MessageLogdescription|Did some messagese pop up that you wanted to look back at?  Truly transient messages are not stored, but anything that might have long-term significance is stored here.
UISidebarBasicItem/ui_sidebar_item/=Performancedescription|View performance information.
UISidebarBasicItem/ui_sidebar_item/=SaveGamedescription|Save your game here.
UISidebarBasicItem/ui_sidebar_item/=Settingsdescription|Adjust various game settings.
UISidebarBasicItem/ui_sidebar_item/=Controlsdescription|Change the mouse/keyboard input bindings.
UISidebarBasicItem/ui_sidebar_item/=Cheatsdescription|Looking to cheat, for strategic gain or just for testing?  Here you go.
UISidebarBasicItem/ui_sidebar_item/=Discorddescription|Join the Discord server.
UISidebarBasicItem/ui_sidebar_item/=Quitdescription|Quit back to the main menu.
UISidebarBasicItem/ui_sidebar_item/=Exitdisplay_name|Exit to Desktop
UISidebarBasicItem/ui_sidebar_item/=Exitdescription|Exit game to desktop.
